tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0009018	short	a dog's life	a dog's life	0	1918	\n	33	comedy
tt0010040	movie	daddy-long-legs	daddy-long-legs	0	1919	\n	85	comedy
tt0010418	movie	male and female	male and female	0	1919	\n	116	adventure|drama
tt0010726	movie	die spinnen, 1. teil - der goldene see	die spinnen, 1. teil - der goldene see	0	1919	\n	81	action|drama
tt0011652	movie	the saphead	the saphead	0	1920	\n	77	comedy
tt0012349	movie	the kid	the kid	0	1921	\n	68	action
tt0013442	movie	nosferatu	nosferatu, eine symphonie des grauens	0	1922	\n	94	horror
tt0013662	movie	tess of the storm country	tess of the storm country	0	1922	\n	137	drama
tt0014538	movie	three ages	three ages	0	1923	\n	63	comedy
tt0014624	movie	a woman of paris: a drama of fate	a woman of paris: a drama of fate	0	1923	\n	82	drama
tt0015648	movie	battleship potemkin	bronenosets potemkin	0	1925	\n	75	drama|war
tt0015693	movie	cobra	cobra	0	1925	\n	70	drama
tt0015863	movie	go west	go west	0	1925	\n	68	comedy
tt0015864	movie	the gold rush	the gold rush	0	1925	\n	95	comedy
tt0016230	movie	the pleasure garden	the pleasure garden	0	1925	\n	75	drama
tt0016332	movie	seven chances	seven chances	0	1925	\n	56	comedy
tt0016630	movie	battling butler	battling butler	0	1926	\n	77	comedy
tt0016640	movie	the bells	the bells	0	1926	\n	68	crime|drama
tt0017075	movie	the lodger	the lodger: a story of the london fog	0	1927	\n	68	thriller
tt0017136	movie	metropolis	metropolis	0	1927	\n	153	sci-fi
tt0017350	movie	the scarlet letter	the scarlet letter	0	1926	\n	115	drama
tt0017416	movie	the son of the sheik	the son of the sheik	0	1926	\n	68	adventure
tt0017423	movie	sparrows	sparrows	0	1926	\n	110	drama
tt0017825	movie	when boys leave home	downhill	0	1927	\n	80	drama
tt0017843	movie	easy virtue	easy virtue	0	1928	\n	80	drama
tt0017925	movie	the general	the general	0	1926	\n	67	comedy
tt0018183	movie	my best girl	my best girl	0	1927	\n	80	comedy|romance
tt0018328	movie	the ring	the ring	0	1927	\n	116	drama
tt0018578	movie	wings	wings	0	1927	\n	144	drama|romance|war
tt0018756	movie	champagne	champagne	0	1928	\n	86	comedy
tt0018773	movie	the circus	the circus	0	1928	\n	72	comedy
tt0018876	movie	the farmer's wife	the farmer's wife	0	1928	\n	100	comedy
tt0019422	short	steamboat willie	steamboat willie	0	1928	\n	8	animation|children|comedy|musical
tt0019702	movie	blackmail	blackmail	0	1929	\n	85	thriller
tt0019729	movie	the broadway melody	the broadway melody	0	1929	\n	100	musical
tt0020142	movie	the manxman	the manxman	0	1929	\n	110	drama
tt0020594	movie	with byrd at the south pole	with byrd at the south pole	0	1930	\n	82	documentary
tt0020629	movie	all quiet on the western front	all quiet on the western front	0	1930	\n	136	war
tt0020668	movie	the bat whispers	the bat whispers	0	1930	\n	83	crime|drama|mystery
tt0020852	movie	elstree calling	elstree calling	0	1930	\n	86	comedy|musical
tt0021015	movie	the shame of mary boyle	juno and the paycock	0	1930	\n	85	drama
tt0021165	movie	murder!	murder!	0	1930	\n	104	mystery|thriller
tt0021746	movie	cimarron	cimarron	0	1931	\n	123	western
tt0021749	movie	city lights	city lights	0	1931	\n	87	comedy|drama|romance
tt0021814	movie	dracula	dracula	0	1931	\n	75	horror
tt0021884	movie	frankenstein	frankenstein	0	1931	\n	70	horror
tt0022100	movie	m	m	0	1931	\n	117	crime|film-noir|thriller
tt0022395	movie	the skin game	the skin game	0	1931	\n	85	drama
tt0022879	movie	a farewell to arms	a farewell to arms	0	1932	\n	80	romance|war
tt0022958	movie	grand hotel	grand hotel	0	1932	\n	112	drama
tt0023245	movie	the mummy	the mummy	0	1932	\n	73	horror|romance
tt0023285	movie	number 17	number seventeen	0	1932	\n	66	thriller
tt0023369	movie	rain	rain	0	1932	\n	94	drama
tt0023395	movie	east of shanghai	rich and strange	0	1931	\n	92	comedy|romance
tt0023622	movie	trouble in paradise	trouble in paradise	0	1932	\n	83	comedy|romance
tt0023876	movie	cavalcade	cavalcade	0	1933	\n	112	drama
tt0023969	movie	duck soup	duck soup	0	1933	\n	68	comedy|war
tt0024184	movie	the invisible man	the invisible man	0	1933	\n	71	horror|sci-fi
tt0024216	movie	king kong	king kong	0	1933	\n	100	action|adventure|horror
tt0024252	movie	liebelei	liebelei	0	1933	\n	88	romance
tt0024645	movie	tarzan the fearless	tarzan the fearless	0	1933	\n	200	action|adventure
tt0024747	movie	strauss' great waltz	waltzes from vienna	0	1934	\n	81	comedy|musical
tt0024852	movie	babes in toyland	babes in toyland	0	1934	\n	77	comedy
tt0025164	movie	the gay divorcee	the gay divorcee	0	1934	\n	107	comedy|musical|romance
tt0025316	movie	it happened one night	it happened one night	0	1934	\n	105	comedy
tt0025452	movie	the man who knew too much	the man who knew too much	0	1934	\n	75	thriller
tt0025586	movie	of human bondage	of human bondage	0	1934	\n	83	drama
tt0025799	movie	six of a kind	six of a kind	0	1934	\n	62	comedy
tt0025878	movie	the thin man	the thin man	0	1934	\n	91	mystery
tt0026029	movie	the 39 steps	the 39 steps	0	1935	\n	86	thriller
tt0026138	movie	bride of frankenstein	bride of frankenstein	0	1935	\n	75	horror
tt0026465	movie	here comes cookie	here comes cookie	0	1935	\n	65	comedy
tt0026656	movie	love in bloom	love in bloom	0	1935	\n	75	romance
tt0026752	movie	mutiny on the bounty	mutiny on the bounty	0	1935	\n	132	adventure
tt0027125	movie	top hat	top hat	0	1935	\n	101	comedy|musical|romance
tt0027698	movie	the great ziegfeld	the great ziegfeld	0	1936	\n	176	musical
