tconst	type_id
tt0009018	g5
tt0010040	g5
tt0010418	g2
tt0010418	g8
tt0010726	g1
tt0010726	g8
tt0011652	g5
tt0012349	g1
tt0013442	g11
tt0013662	g8
tt0014538	g5
tt0014624	g8
tt0015648	g8
tt0015648	g17
tt0015693	g8
tt0015863	g5
tt0015864	g5
tt0016230	g8
tt0016332	g5
tt0016630	g5
tt0016640	g6
tt0016640	g8
tt0017075	g16
tt0017136	g15
tt0017350	g8
tt0017416	g2
tt0017423	g8
tt0017825	g8
tt0017843	g8
tt0017925	g5
tt0018183	g5
tt0018183	g14
tt0018328	g8
tt0018578	g8
tt0018578	g14
tt0018578	g17
tt0018756	g5
tt0018773	g5
tt0018876	g5
tt0019422	g3
tt0019422	g4
tt0019422	g5
tt0019422	g12
tt0019702	g16
tt0019729	g12
tt0020142	g8
tt0020594	g7
tt0020629	g17
tt0020668	g6
tt0020668	g8
tt0020668	g13
tt0020852	g5
tt0020852	g12
tt0021015	g8
tt0021165	g13
tt0021165	g16
tt0021746	g18
tt0021749	g5
tt0021749	g8
tt0021749	g14
tt0021814	g11
tt0021884	g11
tt0022100	g6
tt0022100	g10
tt0022100	g16
tt0022395	g8
tt0022879	g14
tt0022879	g17
tt0022958	g8
tt0023245	g11
tt0023245	g14
tt0023285	g16
tt0023369	g8
tt0023395	g5
tt0023395	g14
tt0023622	g5
tt0023622	g14
tt0023876	g8
tt0023969	g5
tt0023969	g17
tt0024184	g11
tt0024184	g15
tt0024216	g1
tt0024216	g2
tt0024216	g11
tt0024252	g14
tt0024645	g1
tt0024645	g2
tt0024747	g5
tt0024747	g12
tt0024852	g5
tt0025164	g5
tt0025164	g12
tt0025164	g14
tt0025316	g5
tt0025452	g16
tt0025586	g8
tt0025799	g5
tt0025878	g13
tt0026029	g16
tt0026138	g11
tt0026465	g5
tt0026656	g14
tt0026752	g2
tt0027125	g5
tt0027125	g12
tt0027125	g14
tt0027698	g12
tt0027893	g8
tt0027977	g5
tt0027980	g13
tt0028010	g5
tt0028212	g16
tt0028231	g16
tt0028282	g8
tt0028629	g8
tt0028629	g12
tt0028757	g5
tt0028757	g12
tt0028757	g14
tt0028944	g8
tt0028950	g8
tt0028950	g17
tt0029146	g8
tt0029162	g8
tt0029546	g5
tt0029546	g12
tt0029546	g14
tt0029583	g3
tt0029583	g4
tt0029583	g12
tt0029588	g5
tt0029588	g12
tt0029606	g8
tt0029811	g6
tt0029811	g16
tt0029843	g1
tt0029843	g2
tt0029855	g8
tt0029855	g14
tt0029947	g5
tt0029992	g8
tt0030341	g5
tt0030341	g13
tt0030341	g14
tt0030341	g16
tt0030993	g5
tt0031381	g8
tt0031381	g14
tt0031381	g17
tt0031397	g2
tt0031397	g3
tt0031397	g4
tt0031505	g8
tt0031580	g4
tt0031580	g8
tt0031612	g8
tt0031679	g8
tt0031725	g5
tt0031725	g14
tt0031762	g8
tt0031951	g11
tt0032022	g6
tt0032022	g8
tt0032138	g2
tt0032138	g4
tt0032138	g8
tt0032138	g12
tt0032143	g5
tt0032215	g11
tt0032215	g15
tt0032234	g5
tt0032283	g8
tt0032383	g18
tt0032455	g3
tt0032455	g4
tt0032455	g12
tt0032484	g16
tt0032551	g8
tt0032553	g5
tt0032590	g18
tt0032599	g5
tt0032762	g2
tt0032818	g11
tt0032881	g8
tt0032904	g5
tt0032904	g14
tt0032910	g3
tt0032910	g4
tt0032976	g14
tt0032976	g16
tt0033021	g8
tt0033021	g14
tt0033021	g18
tt0033045	g5
tt0033045	g14
tt0033467	g8
tt0033563	g3
tt0033563	g4
tt0033563	g12
tt0033729	g8
tt0033804	g5
tt0033804	g14
tt0033870	g10
tt0033870	g13
tt0033891	g8
tt0033922	g5
tt0034012	g8
tt0034012	g14
tt0034055	g5
tt0034055	g12
tt0034240	g5
tt0034248	g13
tt0034248	g16
tt0034398	g11
tt0034492	g3
tt0034492	g4
tt0034493	g8
tt0034583	g8
tt0034583	g14
tt0034583	g17
tt0034742	g1
tt0034742	g8
tt0034742	g17
tt0034786	g11
tt0034862	g5
tt0034862	g12
tt0034889	g18
tt0035093	g8
tt0035093	g17
tt0035096	g11
tt0035169	g5
tt0035279	g16
tt0035446	g5
tt0035446	g8
tt0035446	g17
tt0035896	g2
tt0035896	g17
tt0035899	g11
tt0035966	g8
tt0035966	g17
tt0036094	g5
tt0036094	g13
tt0036241	g18
tt0036261	g8
tt0036261	g16
tt0036326	g3
tt0036326	g4
tt0036326	g5
tt0036342	g10
tt0036342	g16
tt0036376	g11
tt0036613	g5
tt0036613	g13
tt0036613	g16
tt0036653	g10
tt0036653	g11
tt0036775	g6
tt0036775	g10
tt0036824	g1
tt0036824	g8
tt0036824	g17
tt0036855	g13
tt0036855	g16
tt0036868	g8
tt0036868	g17
tt0036872	g5
tt0036931	g11
tt0037008	g6
tt0037008	g10
tt0037008	g13
tt0037017	g8
tt0037017	g16
tt0037017	g17
tt0037059	g12
tt0037098	g11
tt0037099	g11
tt0037101	g10
tt0037101	g16
tt0037514	g5
tt0037514	g12
tt0037547	g8
tt0037547	g17
tt0037549	g11
tt0037558	g8
tt0037558	g14
tt0037674	g8
tt0037674	g14
tt0037793	g11
tt0037884	g8
tt0037913	g8
tt0038109	g13
tt0038109	g14
tt0038109	g16
tt0038120	g17
tt0038166	g3
tt0038166	g4
tt0038166	g12
tt0038235	g8
tt0038300	g6
tt0038300	g8
tt0038355	g10
tt0038355	g13
tt0038426	g8
tt0038499	g18
tt0038559	g10
tt0038650	g8
tt0038718	g3
tt0038718	g4
tt0038718	g12
tt0038787	g10
tt0038787	g14
tt0038787	g16
tt0038969	g2
tt0038969	g3
tt0038969	g4
tt0038969	g12
tt0038975	g16
tt0039004	g8
tt0039152	g18
tt0039286	g6
tt0039286	g10
tt0039404	g3
tt0039404	g4
tt0039404	g12
tt0039416	g8
tt0039420	g8
tt0039420	g14
tt0039428	g2
tt0039428	g14
tt0039589	g6
tt0039628	g8
tt0039631	g5
tt0039689	g10
tt0039694	g8
tt0039698	g5
tt0039748	g10
tt0039881	g10
tt0040068	g5
tt0040068	g11
tt0040366	g10
tt0040416	g8
tt0040427	g6
tt0040427	g10
tt0040427	g16
tt0040506	g6
tt0040506	g8
tt0040506	g10
tt0040506	g16
tt0040522	g8
tt0040552	g8
tt0040580	g3
tt0040580	g4
tt0040580	g12
tt0040664	g5
tt0040664	g8
tt0040723	g10
tt0040746	g16
tt0040897	g2
tt0041113	g8
tt0041503	g6
tt0041503	g8
tt0041509	g12
tt0041650	g2
tt0041650	g4
tt0041650	g8
tt0041705	g14
tt0041716	g12
tt0041890	g4
tt0041890	g8
tt0041959	g13
tt0041959	g16
tt0042004	g8
tt0042054	g8
tt0042192	g8
tt0042208	g6
tt0042208	g10
tt0042276	g5
tt0042332	g3
tt0042332	g4
tt0042332	g12
tt0042354	g8
tt0042393	g15
tt0042451	g5
tt0042469	g15
tt0042546	g5
tt0042644	g4
tt0042644	g8
tt0042897	g15
tt0042994	g13
tt0042994	g16
tt0043014	g10
tt0043140	g13
tt0043265	g1
tt0043265	g2
tt0043265	g14
tt0043265	g17
tt0043274	g3
tt0043274	g4
tt0043274	g12
tt0043278	g12
tt0043278	g14
tt0043338	g8
tt0043379	g1
tt0043379	g2
tt0043379	g17
tt0043456	g8
tt0043456	g15
tt0043618	g12
tt0043899	g8
tt0043924	g8
tt0043924	g14
tt0044079	g10
tt0044079	g16
tt0044081	g8
tt0044121	g15
tt0044364	g6
tt0044364	g8
tt0044420	g1
tt0044420	g8
tt0044517	g2
tt0044517	g5
tt0044517	g15
tt0044672	g8
tt0044706	g18
tt0044837	g8
tt0044863	g2
tt0045061	g5
tt0045061	g14
tt0045152	g12
tt0045152	g14
tt0045162	g2
tt0045251	g8
tt0045537	g5
tt0045537	g12
tt0045793	g8
tt0045793	g14
tt0045793	g17
tt0045826	g8
tt0045877	g10
tt0045897	g16
tt0045920	g15
tt0046126	g8
tt0046126	g16
tt0046183	g3
tt0046183	g4
tt0046183	g9
tt0046183	g12
tt0046213	g15
tt0046250	g5
tt0046250	g14
tt0046303	g8
tt0046303	g18
tt0046359	g8
tt0046359	g17
tt0046414	g5
tt0046414	g8
tt0046435	g1
tt0046435	g8
tt0046534	g1
tt0046534	g15
tt0046534	g17
tt0046672	g2
tt0046672	g4
tt0046672	g9
tt0046672	g15
tt0046876	g11
tt0046907	g15
tt0046912	g13
tt0046912	g16
tt0047034	g1
tt0047034	g15
tt0047127	g6
tt0047127	g8
tt0047162	g8
tt0047296	g6
tt0047296	g8
tt0047396	g13
tt0047396	g16
tt0047437	g5
tt0047437	g14
tt0047478	g1
