nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	fred astaire	1899	1987	soundtrack,actor,miscellaneous	tt0050419,tt0072308,tt0053137,tt0043044
nm0000002	lauren bacall	1924	2014	actress,soundtrack	tt0037382,tt0040506,tt0038355,tt0117057
nm0000006	ingrid bergman	1915	1982	actress,soundtrack,producer	tt0071877,tt0034583,tt0038109,tt0038787
nm0000007	humphrey bogart	1899	1957	actor,soundtrack,producer	tt0040897,tt0038355,tt0034583,tt0033870
nm0000008	marlon brando	1924	2004	actor,soundtrack,director	tt0078346,tt0047296,tt0068646,tt0078788
nm0000009	richard burton	1925	1984	actor,producer,soundtrack	tt0087803,tt0057877,tt0061184,tt0065207
nm0000011	gary cooper	1901	1961	actor,soundtrack,producer	tt0033891,tt0049233,tt0027996,tt0044706
nm0000012	bette davis	1908	1989	actress,soundtrack,make_up_department	tt0030287,tt0042192,tt0056687,tt0035140
nm0000016	georges delerue	1925	1992	composer,soundtrack,music_department	tt0069946,tt0079477,tt0091763,tt0096320
nm0000018	kirk douglas	1916	\n	actor,producer,soundtrack	tt0054331,tt0043465,tt0044391,tt0049456
nm0000020	henry fonda	1905	1982	actor,producer,soundtrack	tt0064116,tt0052462,tt0050083,tt0032551
nm0000024	john gielgud	1904	2000	actor,writer,director	tt0076574,tt0082031,tt0045943,tt0071877
nm0000025	jerry goldsmith	1929	2004	music_department,soundtrack,composer	tt0120762,tt0112178,tt0100802,tt0092455
nm0000026	cary grant	1904	1986	actor,soundtrack,producer	tt0038787,tt0056923,tt0032599,tt0053125
nm0000030	audrey hepburn	1929	1993	actress,soundtrack	tt0047437,tt0046250,tt0058385,tt0054698
nm0000031	katharine hepburn	1907	2003	actress,soundtrack,writer	tt0032904,tt0061735,tt0063227,tt0043265
nm0000032	charlton heston	1923	2008	actor,director,writer	tt0250764,tt0063442,tt0052618,tt0052311
nm0000033	alfred hitchcock	1899	1980	actor,director,producer	tt0047396,tt0054215,tt0053125,tt0052357
nm0000034	william holden	1918	1981	actor,soundtrack	tt0065214,tt0050212,tt0043014,tt0074958
nm0000035	james horner	1953	2015	music_department,soundtrack,composer	tt0120338,tt0499549,tt0948470,tt0112573
nm0000036	buster keaton	1895	1966	actor,writer,director	tt0018742,tt0017925,tt0019421,tt0016332
nm0000037	gene kelly	1912	1996	soundtrack,actor,director	tt0045152,tt0041716,tt0041944,tt0043278
nm0000039	deborah kerr	1921	2007	actress,soundtrack	tt0045793,tt0049408,tt0050490,tt0039192
nm0000040	stanley kubrick	1928	1999	director,writer,producer	tt0062622,tt0120663,tt0066921,tt0072684
nm0000041	akira kurosawa	1910	1998	writer,director,assistant_director	tt0047478,tt0089881,tt0042876,tt0055630
nm0000044	burt lancaster	1913	1994	actor,producer,miscellaneous	tt0080388,tt0057091,tt0045793,tt0055031
nm0000048	peter lorre	1904	1964	actor,soundtrack,writer	tt0034583,tt0022100,tt0025452,tt0033870
nm0000049	henry mancini	1924	1994	music_department,soundtrack,composer	tt0057413,tt0051301,tt0056059,tt0054698
nm0000051	james mason	1909	1984	actor,producer,writer	tt0053125,tt0047522,tt0056193,tt0046672
nm0000052	marcello mastroianni	1924	1996	actor,soundtrack,producer	tt0053779,tt0055913,tt0054130,tt0056801
nm0000053	robert mitchum	1917	1997	actor,soundtrack,producer	tt0048424,tt0050490,tt0039689,tt0056197
nm0000055	alfred newman	1901	1970	music_department,composer,soundtrack	tt0029852,tt0042192,tt0056085,tt0061439
nm0000056	paul newman	1925	2008	actor,producer,director	tt0090863,tt0054997,tt0061512,tt0084855
nm0000057	david niven	1910	1983	actor,producer,soundtrack	tt0052182,tt0057413,tt0054953,tt0074937
nm0000058	maureen o'hara	1920	2015	actress,soundtrack	tt0055277,tt0045061,tt0039628,tt0033729
nm0000059	laurence olivier	1907	1989	actor,producer,director	tt0082186,tt0069281,tt0032976,tt0054331
nm0000060	gregory peck	1916	2003	actor,producer,soundtrack	tt0046250,tt0075005,tt0054953,tt0056592
nm0000063	anthony quinn	1915	2001	actor,producer,soundtrack	tt0057831,tt0047528,tt0074896,tt0056172
nm0000065	nino rota	1911	1979	composer,soundtrack,music_department	tt0063518,tt0056801,tt0071562,tt0068646
nm0000067	miklós rózsa	1907	1995	music_department,composer,soundtrack	tt0052618,tt0080025,tt0036775,tt0038109
nm0000069	frank sinatra	1915	1998	soundtrack,actor,producer	tt0056218,tt0045793,tt0041944,tt0050815
nm0000070	max steiner	1888	1971	music_department,composer,soundtrack	tt0034583,tt0407887,tt0027125,tt0031381
nm0000071	james stewart	1908	1997	actor,soundtrack,director	tt0052357,tt0052561,tt0031679,tt0032904
nm0000072	elizabeth taylor	1932	2011	actress,soundtrack,producer	tt0049261,tt0043924,tt0061184,tt0051459
nm0000077	franz waxman	1906	1967	music_department,composer,soundtrack	tt0046359,tt0048380,tt0053131,tt0057779
nm0000078	john wayne	1907	1979	actor,producer,soundtrack	tt0065126,tt0056217,tt0053221,tt0049730
nm0000080	orson welles	1915	1985	actor,writer,director	tt0048393,tt0033467,tt0072962,tt0052311
nm0000081	natalie wood	1938	1981	actress,soundtrack,music_department	tt0055614,tt0055471,tt0057263,tt0048545
nm0000082	victor young	1900	1956	music_department,soundtrack,composer	tt0119094,tt0112641,tt3315342,tt0120663
nm0000084	li gong	1965	\n	actress	tt0430357,tt0212712,tt0367959,tt0101640
nm0000092	john cleese	1939	\n	actor,writer,producer	tt0071853,tt0095159,tt0079470,tt0085959
nm0000093	brad pitt	1963	\n	actor,producer,soundtrack	tt1210166,tt0816711,tt0114746,tt0356910
nm0000095	woody allen	1935	\n	writer,director,actor	tt0079522,tt0075686,tt0097123,tt0091167
nm0000098	jennifer aniston	1969	\n	actress,producer,soundtrack	tt1723121,tt0108778,tt0129167,tt0151804
nm0000099	patricia arquette	1968	\n	actress,director,soundtrack	tt0412175,tt0145531,tt0108399,tt1065073
nm0000101	dan aykroyd	1952	\n	writer,actor,producer	tt0097428,tt0080455,tt0086465,tt0087332
nm0000102	kevin bacon	1958	\n	actor,producer,soundtrack	tt0327056,tt0361127,tt0087277,tt0164052
nm0000104	antonio banderas	1960	\n	actor,soundtrack,producer	tt0120657,tt0120746,tt0112851,tt1189073
nm0000106	drew barrymore	1975	\n	producer,actress,soundtrack	tt0343660,tt0160127,tt0120631,tt0151738
nm0000107	kim basinger	1953	\n	actress,soundtrack,producer	tt0119488,tt0337921,tt0108525,tt0096895
nm0000108	luc besson	1959	\n	writer,producer,director	tt1397280,tt0119116,tt0110413,tt0388482
nm0000110	kenneth branagh	1960	\n	actor,producer,director	tt1655420,tt0107616,tt0116477,tt0097499
nm0000111	matthew broderick	1962	\n	actor,soundtrack,director	tt0120685,tt0110357,tt0097441,tt0091042
nm0000112	pierce brosnan	1953	\n	actor,producer,soundtrack	tt0113189,tt0365485,tt0143145,tt0120347
nm0000113	sandra bullock	1964	\n	producer,actress,soundtrack	tt0212346,tt0111257,tt1454468,tt1041829
nm0000114	steve buscemi	1957	\n	actor,director,producer	tt0198781,tt0118715,tt0105236,tt0116282
nm0000115	nicolas cage	1964	\n	actor,producer,soundtrack	tt0117500,tt0113627,tt0435705,tt0119094
nm0000116	james cameron	1954	\n	writer,producer,director	tt0090605,tt0103064,tt0120338,tt0499549
nm0000117	neve campbell	1973	\n	actress,producer,soundtrack	tt0120131,tt0108894,tt0120890,tt0117571
nm0000118	john carpenter	1948	\n	soundtrack,writer,music_department	tt0096256,tt0082340,tt0077651,tt0116225
nm0000119	tia carrere	1967	\n	actress,soundtrack,producer	tt0105793,tt0275847,tt0207919,tt0111503
nm0000120	jim carrey	1962	\n	actor,writer,producer	tt0109040,tt0338013,tt0120382,tt0315327
nm0000121	phoebe cates	1963	\n	actress,soundtrack	tt0099700,tt0087363,tt0101775,tt0083929
nm0000122	charles chaplin	1889	1977	writer,soundtrack,actor	tt0032553,tt0015864,tt0027977,tt0021749
nm0000123	george clooney	1961	\n	actor,producer,director	tt1124035,tt1193138,tt0365737,tt1033575
nm0000124	jennifer connelly	1970	\n	actress	tt0315983,tt0102803,tt0180093,tt0268978
nm0000125	sean connery	1930	\n	actor,producer,soundtrack	tt0055928,tt0099810,tt0117500,tt0097576
nm0000126	kevin costner	1955	\n	actor,producer,soundtrack	tt0099348,tt0102798,tt0103855,tt0119925
nm0000127	wes craven	1939	2015	writer,producer,director	tt0117571,tt0111686,tt0093629,tt0087800
nm0000128	russell crowe	1964	\n	actor,soundtrack,producer	tt0172495,tt0268978,tt1707386,tt0119488
nm0000129	tom cruise	1962	\n	actor,producer,soundtrack	tt0325710,tt0181689,tt0092099,tt0116695
nm0000130	jamie lee curtis	1958	\n	actress,director,producer	tt0322330,tt0095159,tt0120694,tt0111503
nm0000131	john cusack	1966	\n	actor,producer,writer	tt0120601,tt0146882,tt0450385,tt1190080
nm0000132	claire danes	1979	\n	actress,producer,soundtrack	tt1278469,tt0108872,tt0117509,tt1796960
nm0000133	geena davis	1956	\n	actress,producer,soundtrack	tt0116908,tt0104694,tt0103074,tt0091064
nm0000134	robert de niro	1943	\n	actor,producer,soundtrack	tt0081398,tt0075314,tt0212338,tt0101540
nm0000136	johnny depp	1963	\n	actor,producer,soundtrack	tt0383574,tt0449088,tt0408236,tt0325980
nm0000138	leonardo dicaprio	1974	\n	actor,producer,writer	tt0993846,tt0120338,tt0407887,tt1375666
nm0000139	cameron diaz	1972	\n	actress,producer,soundtrack	tt0129387,tt0160127,tt0259711,tt2203939
nm0000140	michael douglas	1944	\n	actor,producer,soundtrack	tt0119174,tt0103772,tt0106856,tt0478970
nm0000141	david duchovny	1960	\n	actor,producer,director	tt0106179,tt0120902,tt0251075,tt0904208
nm0000142	clint eastwood	1930	\n	actor,producer,director	tt0112579,tt1205489,tt0405159,tt0105695
nm0000143	erika eleniak	1969	\n	actress	tt0096542,tt0106400,tt0083866,tt0105690
nm0000144	cary elwes	1962	\n	actor,producer,director	tt0387564,tt0119468,tt0093779,tt0107977
nm0000146	ralph fiennes	1962	\n	actor,director,soundtrack	tt2278388,tt0108052,tt1201607,tt0387131
nm0000148	harrison ford	1942	\n	actor,writer,producer	tt0082971,tt0118571,tt0090329,tt0106977
nm0000149	jodie foster	1962	\n	actress,director,producer	tt1535108,tt0258000,tt0454848,tt0102926
nm0000150	michael j. fox	1961	\n	actor,producer,miscellaneous	tt0088763,tt0099088,tt0083413,tt0096874
nm0000151	morgan freeman	1937	\n	actor,producer,soundtrack	tt0114369,tt1057500,tt0097239,tt0405159
nm0000152	richard gere	1949	\n	actor,soundtrack,producer	tt0299658,tt0084434,tt0358135,tt0100405
