tconst	category	nconst
tt0009018	actor	nm0000122
tt0009018	actor	nm0074788
tt0012349	actor	nm0000122
tt0012349	actor	nm0074788
tt0013442	composer	nm0002302
tt0013442	writer	nm0831290
tt0014538	actor	nm0000036
tt0014624	director	nm0000122
tt0015863	actor	nm0000036
tt0015864	actor	nm0000122
tt0015864	actor	nm0074788
tt0015864	cinematographer	nm0005906
tt0016230	director	nm0000033
tt0016230	writer	nm0822627
tt0016332	actor	nm0000036
tt0016630	actor	nm0000036
tt0016640	actor	nm0000859
tt0017075	director	nm0000033
tt0017075	writer	nm0822627
tt0017825	director	nm0000033
tt0017825	writer	nm0822627
tt0017843	director	nm0000033
tt0017843	writer	nm0822627
tt0017925	actor	nm0000036
tt0018328	director	nm0000033
tt0018328	writer	nm0720904
tt0018328	writer	nm0822627
tt0018328	cinematographer	nm0185055
tt0018756	director	nm0000033
tt0018756	writer	nm0822627
tt0018756	cinematographer	nm0185055
tt0018773	actor	nm0000122
tt0018773	cinematographer	nm0005906
tt0018773	actor	nm0074788
tt0018876	writer	nm0822627
tt0018876	director	nm0000033
tt0019702	director	nm0000033
tt0019702	writer	nm0071657
tt0020142	director	nm0000033
tt0020142	writer	nm0822627
tt0020142	cinematographer	nm0185055
tt0020629	writer	nm0027173
tt0020852	director	nm0000033
tt0021015	director	nm0000033
tt0021015	writer	nm0720904
tt0021015	cinematographer	nm0185055
tt0021165	cinematographer	nm0185055
tt0021165	director	nm0000033
tt0021165	writer	nm0720904
tt0021749	actor	nm0000122
tt0021749	cinematographer	nm0005906
tt0021814	actor	nm0000509
tt0021814	writer	nm0831290
tt0021814	writer	nm0049721
tt0021884	actor	nm0000472
tt0021884	writer	nm0049721
tt0021884	writer	nm0791217
tt0022100	actor	nm0000048
tt0022395	actor	nm0350324
tt0022395	director	nm0000033
tt0022395	writer	nm0720904
tt0022395	cinematographer	nm0185055
tt0022879	cinematographer	nm0485702
tt0022879	actor	nm0000011
tt0022958	actress	nm0001076
tt0023245	actor	nm0000472
tt0023245	writer	nm0049721
tt0023285	cinematographer	nm0185055
tt0023285	director	nm0000033
tt0023285	writer	nm0720904
tt0023369	composer	nm0000055
tt0023369	actress	nm0001076
tt0023369	writer	nm0560857
tt0023369	writer	nm0027173
tt0023395	director	nm0000033
tt0023395	writer	nm0720904
tt0023969	director	nm0564970
tt0024184	actor	nm0001647
tt0024216	director	nm0178260
tt0024747	actor	nm0350324
tt0024747	director	nm0000033
tt0024747	writer	nm0720904
tt0025164	actor	nm0000001
tt0025316	director	nm0001008
tt0025316	cinematographer	nm0907900
tt0025452	actor	nm0000048
tt0025452	director	nm0000033
tt0025452	writer	nm0071657
tt0025586	composer	nm0000070
tt0025586	actress	nm0000012
tt0025586	writer	nm0560857
tt0025799	actor	nm0122675
tt0025799	director	nm0564970
tt0026029	director	nm0000033
tt0026029	writer	nm0071657
tt0026138	actor	nm0000472
tt0026138	writer	nm0791217
tt0026138	writer	nm0049721
tt0026465	actor	nm0122675
tt0026656	actor	nm0122675
tt0026752	actor	nm0001452
tt0027125	actor	nm0000001
tt0027893	composer	nm0000070
tt0027977	actor	nm0000122
tt0027977	actor	nm0074788
tt0027977	cinematographer	nm0005906
tt0028212	writer	nm0720904
tt0028212	director	nm0000033
tt0028212	writer	nm0071657
tt0028231	writer	nm0720904
tt0028231	actor	nm0000024
tt0028231	actor	nm0000048
tt0028231	director	nm0000033
tt0028231	writer	nm0560857
tt0028231	writer	nm0071657
tt0028757	actor	nm0000001
tt0028757	actor	nm0122675
tt0028757	director	nm0828419
tt0029146	composer	nm0000070
tt0029162	cinematographer	nm0907900
tt0029162	director	nm0001008
tt0029162	composer	nm0006323
tt0029546	actor	nm0000001
tt0029583	director	nm0414144
tt0029811	director	nm0000033
tt0029811	writer	nm0071657
tt0029843	actor	nm0001647
tt0029843	director	nm0002031
tt0029855	writer	nm0128906
tt0029947	actress	nm0000031
tt0029947	actor	nm0000026
tt0029947	director	nm0001328
tt0029992	writer	nm0002042
tt0029992	producer	nm0000581
tt0029992	composer	nm0000077
tt0030341	director	nm0000033
tt0030341	cinematographer	nm0185055
tt0030993	cinematographer	nm0907900
tt0030993	actor	nm0000071
tt0030993	actor	nm0000859
tt0030993	director	nm0001008
tt0030993	composer	nm0006323
tt0031381	director	nm0002030
tt0031505	actress	nm0000058
tt0031505	actor	nm0001452
tt0031505	director	nm0000033
tt0031505	writer	nm0365661
tt0031505	writer	nm0720904
tt0031612	actor	nm0001452
tt0031679	cinematographer	nm0907900
tt0031679	actor	nm0000071
tt0031679	actor	nm0001647
tt0031679	director	nm0001008
tt0031679	composer	nm0006323
tt0031725	actor	nm0000509
tt0031725	writer	nm0102818
tt0031725	writer	nm0000697
tt0031762	cinematographer	nm0907900
tt0031762	actor	nm0000026
tt0031762	director	nm0001328
tt0031762	composer	nm0006323
tt0031951	actor	nm0000472
tt0031951	actor	nm0000509
tt0031951	writer	nm0791217
tt0031951	cinematographer	nm0732648
tt0032022	cinematographer	nm0002146
tt0032022	actor	nm0001647
tt0032022	composer	nm0000070
tt0032138	director	nm0002030
tt0032143	actress	nm0001076
tt0032143	director	nm0002030
tt0032215	actor	nm0000472
tt0032215	writer	nm0802561
tt0032283	actor	nm0000472
tt0032383	actor	nm0000078
tt0032383	actor	nm0682074
tt0032455	director	nm0019282
tt0032484	writer	nm0372942
tt0032484	actor	nm0001695
tt0032484	director	nm0000033
tt0032484	writer	nm0071657
tt0032484	writer	nm0365661
tt0032551	actor	nm0000020
tt0032551	actor	nm0001017
tt0032551	director	nm0000406
tt0032551	producer	nm0953123
tt0032553	actor	nm0000122
tt0032553	cinematographer	nm0005906
tt0032599	cinematographer	nm0907900
tt0032599	actor	nm0000026
tt0032599	actor	nm0000897
tt0032599	director	nm0001328
tt0032599	writer	nm0372942
tt0032762	composer	nm0000055
tt0032818	writer	nm0049721
tt0032881	actor	nm0000034
tt0032904	composer	nm0000077
tt0032904	actor	nm0000026
tt0032904	actress	nm0000031
tt0032904	actor	nm0000071
tt0032904	director	nm0002030
tt0032904	producer	nm0000581
tt0032910	director	nm0730860
tt0032910	director	nm0414144
tt0032910	director	nm0455741
tt0032910	director	nm0527217
tt0032976	actor	nm0000059
tt0032976	actor	nm0001695
tt0032976	director	nm0000033
tt0032976	writer	nm0365661
tt0033021	director	nm0002031
tt0033021	composer	nm0000070
tt0033045	actor	nm0000071
tt0033045	writer	nm0372942
tt0033467	actor	nm0000080
tt0033467	actor	nm0001072
tt0033467	composer	nm0002136
tt0033563	actor	nm0001359
tt0033563	director	nm0414144
tt0033563	director	nm0455741
tt0033563	director	nm0730860
tt0033729	actor	nm0682074
tt0033729	actress	nm0000058
tt0033729	director	nm0000406
tt0033729	producer	nm0953123
tt0033729	composer	nm0000055
tt0033804	actress	nm0001766
tt0033804	actor	nm0000020
tt0033870	actor	nm0000007
tt0033870	actor	nm0000048
tt0033870	director	nm0001379
tt0033891	composer	nm0006323
tt0033891	actor	nm0000011
tt0033891	actress	nm0001766
tt0033891	director	nm0001008
tt0033922	director	nm0000033
tt0033922	cinematographer	nm0005889
tt0034012	actor	nm0000026
tt0034012	director	nm0828419
tt0034012	cinematographer	nm0907900
tt0034055	actor	nm0000071
tt0034248	composer	nm0000077
tt0034248	actor	nm0000026
tt0034248	director	nm0000033
tt0034248	writer	nm0365661
tt0034248	writer	nm0720904
tt0034398	actor	nm0000509
tt0034398	actor	nm0001647
tt0034398	actor	nm0001033
tt0034398	actor	nm0000897
tt0034398	writer	nm0802561
tt0034492	director	nm0019282
tt0034492	director	nm0730860
tt0034583	actor	nm0000007
tt0034583	actress	nm0000006
tt0034583	actor	nm0001647
tt0034583	director	nm0002031
tt0034583	writer	nm0258493
tt0034742	actor	nm0000078
tt0034742	composer	nm0000082
tt0034786	actor	nm0001033
tt0034786	actor	nm0000897
tt0034862	actor	nm0000001
tt0034889	actor	nm0000078
tt0035093	actor	nm0682074
tt0035093	director	nm0943758
tt0035096	actor	nm0001033
tt0035096	cinematographer	nm0732648
tt0035169	composer	nm0000082
tt0035279	director	nm0000033
tt0035279	writer	nm0365661
tt0035896	composer	nm0000082
tt0035896	actor	nm0000011
tt0035896	actress	nm0000006
tt0035899	actor	nm0000509
tt0035899	actor	nm0001033
tt0035899	writer	nm0802561
tt0035899	cinematographer	nm0732648
tt0035966	cinematographer	nm0002146
tt0035966	actor	nm0002046
tt0036094	actress	nm0001766
tt0036241	director	nm0001328
tt0036241	writer	nm0372942
tt0036241	composer	nm0000082
tt0036261	actor	nm0001647
tt0036326	director	nm0414144
tt0036326	director	nm0455741
tt0036326	director	nm0527217
tt0036326	director	nm0730860
tt0036326	writer	nm0780799
tt0036342	actor	nm0001072
tt0036342	director	nm0000033
tt0036342	writer	nm0720904
tt0036376	cinematographer	nm0732648
tt0036376	actor	nm0001033
tt0036376	writer	nm0802561
tt0036613	actor	nm0000026
tt0036613	director	nm0001008
tt0036613	writer	nm0258493
tt0036613	composer	nm0000070
tt0036653	actor	nm0001017
tt0036775	actor	nm0534045
tt0036775	actress	nm0001766
tt0036775	director	nm0000697
tt0036775	writer	nm0151452
tt0036775	writer	nm0128906
tt0036775	composer	nm0000067
tt0036824	actor	nm0000078
tt0036855	actress	nm0000006
tt0036855	actor	nm0001072
tt0036855	director	nm0002030
tt0036855	writer	nm0049721
tt0036868	director	nm0943758
tt0036872	director	nm0564970
tt0036931	cinematographer	nm0732648
tt0036931	actor	nm0000472
tt0036931	actor	nm0001033
tt0036931	actor	nm0001017
tt0036931	writer	nm0802561
tt0037008	actor	nm0001637
tt0037017	director	nm0000033
tt0037017	writer	nm0372942
tt0037059	director	nm0591486
tt0037098	actor	nm0001033
tt0037099	actor	nm0001033
tt0037099	actor	nm0001017
tt0037101	writer	nm0151452
tt0037101	composer	nm0002202
tt0037514	actor	nm0000069
tt0037514	actor	nm0000037
tt0037549	actor	nm0000472
tt0037549	actor	nm0000509
tt0037549	director	nm0936404
tt0037549	composer	nm0002202
tt0037793	cinematographer	nm0732648
tt0037793	actor	nm0001017
tt0037793	actor	nm0001033
tt0037884	director	nm0000697
tt0037884	writer	nm0102818
tt0037884	composer	nm0000067
tt0037913	actress	nm0001076
tt0037913	director	nm0002031
tt0037913	writer	nm0128906
tt0038109	actress	nm0000006
tt0038109	actor	nm0000060
tt0038109	director	nm0000033
tt0038109	writer	nm0372942
tt0038120	actor	nm0000053
tt0038166	actor	nm0001359
tt0038166	director	nm0314671
tt0038166	director	nm0455741
tt0038166	director	nm0730860
tt0038235	actor	nm0409869
tt0038235	cinematographer	nm0005737
tt0038300	actor	nm0001647
tt0038300	composer	nm0006323
tt0038355	composer	nm0000070
tt0038355	actor	nm0000007
tt0038355	actress	nm0000002
tt0038355	director	nm0001328
tt0038355	writer	nm0151452
tt0038499	actor	nm0001072
tt0038499	actor	nm0000060
tt0038499	actor	nm0000859
tt0038559	writer	nm0372942
tt0038650	writer	nm0933858
tt0038650	actor	nm0000071
tt0038650	actor	nm0000859
tt0038650	director	nm0001008
tt0038718	director	nm0314671
tt0038718	director	nm0455741
tt0038718	director	nm0527217
tt0038787	actor	nm0000026
tt0038787	actress	nm0000006
tt0038787	actor	nm0001647
tt0038787	director	nm0000033
tt0038787	writer	nm0372942
tt0038787	composer	nm0002202
tt0038969	director	nm0414144
tt0038969	writer	nm0670328
tt0038975	composer	nm0002202
tt0039152	actor	nm0000078
tt0039286	actor	nm0000053
tt0039286	composer	nm0002202
tt0039404	writer	nm0780799
tt0039416	actor	nm0000060
tt0039416	director	nm0001415
tt0039416	producer	nm0953123
tt0039416	composer	nm0000055
tt0039420	cinematographer	nm0485702
tt0039420	actor	nm0001695
tt0039420	director	nm0000581
tt0039420	composer	nm0002136
tt0039589	actor	nm0001695
tt0039589	actor	nm0000472
tt0039628	actor	nm0350324
tt0039628	actress	nm0000058
tt0039631	actor	nm0000122
tt0039631	writer	nm0000080
tt0039631	cinematographer	nm0005906
tt0039689	composer	nm0002202
tt0039689	actor	nm0000053
tt0039689	actor	nm0000018
tt0039689	writer	nm0128906
tt0039694	writer	nm0372942
tt0039694	actor	nm0000060
tt0039694	actor	nm0001452
tt0039694	director	nm0000033
tt0039694	writer	nm0720904
tt0039748	actor	nm0409869
tt0039748	director	nm0542649
tt0039881	director	nm0542649
tt0039881	composer	nm0006275
tt0040068	writer	nm0831290
tt0040068	actor	nm0001033
tt0040068	actor	nm0000509
tt0040068	writer	nm0791217
tt0040416	actor	nm0000059
tt0040416	actress	nm0001739
tt0040416	writer	nm0000636
tt0040427	director	nm0542649
tt0040506	actor	nm0000007
tt0040506	actress	nm0000002
tt0040506	actor	nm0000859
tt0040506	director	nm0001379
tt0040506	writer	nm0027173
tt0040506	composer	nm0000070
tt0040580	director	nm0314671
tt0040580	director	nm0414144
tt0040580	director	nm0455741
tt0040580	director	nm0527217
tt0040580	writer	nm0382548
tt0040664	actor	nm0000071
tt0040664	actor	nm0000020
tt0040664	director	nm0001379
tt0040664	director	nm0828419
tt0040723	composer	nm0006275
tt0040723	actor	nm0409869
tt0040723	director	nm0542649
tt0040746	actor	nm0000071
tt0040746	director	nm0000033
tt0040746	writer	nm0002025
tt0040746	writer	nm0491306
